,id,label,3-Class,6-Class,text
1,1163844154255912961,1.0,O,O,"@diplo1971 ههههههههه دول حاولت تشق الصف السعودي وماقدرت ؛ خل أنت يا مرتزق ماغير كلب تنابح.
عموما الشباب ماقصروا دعسوا على وجهك."
3,1125186171150249984,0.0,C,C,@_Pllii بعض الرجال وزنه ٩٠ وطوله ١٨٩ وهو مخفه مثل الريشه 😭😂
5,1148697765922398210,0.0,C,C,"@alawax_9 @amirmasr77 لاحول ولاقوة الا بالله ،
 ياخي عيب عليك والله العظيم انت كذا تشوه سمعت شعب ب اكمله وتكره العالم فينا وش اللي نعمة السعوديه وسباك ومدري ايش الارزاق على الله سبحانه وتعالى""ان اكرمكم عند الله اتقاكم""
آيه واضحه وصريحه 

انا اعتذر بالنيابه ي ابو يوسف ❤️🌹"
6,1142553886902947841,0.0,C,C,@W_abokhaled @alfloooo لقد تكلموا عن حقوق المراءه سنوات عديده حتي أخذن مكان الشباب فصرن في كل الوظائف والمهن ومن ذلك كثر الطلاق والعنوسه وقد ياتي يوم يكونوا الشباب في البيوت
7,1147272051381690368,0.0,C,C,@Rakat01 ياخذ بنت الناس من بيت أهلها وهوا عارف إنها تشتغل بمستشفى بعدين يحاول يخليها تتغير وتسيب وظيفتها عشانه! مدري الذكور من فين جايبين هذي الثقة!!!!!!
9,1163548809189871617,0.0,C,C,"@ags955 زمااااان ي حلو ذاك الزمان يعود الطفل من المدرسه يجد نبع الحنان ف انتظاره 
ام اليوم...لاولي لسفر المراءه 
مسكين الطفل وا... فين يروح؟"
12,1155258860007038977,0.0,C,C,"@3lya_10 اذا أنتِ قصيميه ونعم في القصمان كلهم 

قصدت إنهم يستثمرون كل شي وعندهم نظره إيجابيه لأي شي سلبي"
13,1156129398065639424,1.0,H,EH,@nbenotman أمازيغي كلب عاهرة لندن تتحدث على العرب و عاداتهم و هو ليس لديه اصل ابن القواد
15,1141837725341011975,0.0,C,C,@abdallah22114 الظاهر تطلعون النسب والارقام من مخابيكم ! وتهملون اعلى نسبة سفر هم الكويتيين ! اعلى نسبة تملك شقق بتركيا ! المركز الثاني بتملك شقق عمان ! مراكز متقدمة بتملك شقق اوروبا ! الناس بخير ! وهناك اعسار طبعا ! والهاشتاق فيه ١٥٠ معسر فقط ! احسب وتعرف العدد
16,1162475239365840896,1.0,O,O,@uae_3G تبقى كلب شيوخ ويسحبونك ويأمرون انك تكتب وتشتم مثل الكلب يا ضعيف الشخصيه لابارك الله فيك ولا بلي وراك الكلاب الخنازير يا كلب الشيوخ وليس من شيم الرجال ان تقذف امرأه مسلمه عربيه خليجيه منا وفينا مهما كان اي خلاف بيننا وبينهم
