id,text,labels
930224125087567872,مؤسسة أرشيف المغرب تتسلم وثائق عن ذاكرة اليهود المغاربة https://t.co/VoTi6m2wrv https://t.co/ZFNQmdQQXW,0
930224110499762176,مفتي السعودية حماس إرهابية وقتال اليهود حرام شرعا، ووزير صهيوني: والله عنا إستحوا يفتوا مثلك، يعيشك https://t.co/2OZOH8OKOQ https://t.co/uRdskLPVlw,0
930223466661507072,أمراء ال سعود اليهود يخوضون حربا عن الصهيونيه,1
930223178076639232,تحميل كتاب مقارنة الأديان: اليهودية تأليف أحمد شلبي pdf مجاناً | المكتبة الإسلامية | موقع بوكس ستريم https://t.co/VaTb2twhm2,0
930221555627560960,"#هزه_ارضيه_في_جده

هذه هيه الهزه الحقيقيه وتخافون من الهزه وماتخافون من الهزه الذي بي اعملها نظامكم الهمجي       يارب عليك  بهم ومن  عاونهم   هذولا اليهود  وقرب النصر ياقوي ياقدير ياقهار https://t.co/4GWAm0W8WM",1
930220978625445888,"الأمير تشارلز: هجرة اليهود إلى فلسطين سبب مشاكل الشرق الأوسط 

لندن ـ “القدس العربي”:

يتعرض الأمير تشارلز ولي... https://t.co/WxnXHHfMwG",1
930218341742063617,في متخلف ضايل بيؤمن بأن السلام مع اليهود ممكن ..!!,1
930218016956125184,تحميل كتاب ابحاث في الفكر اليهودي تأليف د. حسن ظاظا pdf مجانا | مكتبة كتب pdf https://t.co/RNLdmGcwYn,0
930217995007295488,لحد امتى السكوت على اللى بيجرى فينا لما عرص ابن شرموطه خاين عميل اليهود والسعودية والامارات اللى جابوه بفلوسهم اللى زى الرز عمال يسرق فينا ويموت فينا ويبيع البلد كل يوم البطالة بتزيد الجوع والفقر بيزيدوا الناس بتبيع عيالها والله لو طلت ابن الشرموطه ده لدبحه ومش مهم اموت .#المترو,1
930216947224141824,مؤسسة أرشيف المغرب تتسلم وثائق عن ذاكرة اليهود المغاربة الخميس المقبل بالرباط https://t.co/ulSloXHMbm https://t.co/j9i4KMPKkB,0
930216257923710976,انجس من ذيل الكلب اليهود والنصارى ارحم منكم https://t.co/ucecvcw3lz,1
930216011009273856,#السبت_كلنا_ضد_الهلال يهود بني قريضه انتم ؟؟!,1
