text,labels
صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,1
@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,0
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,0
وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,1
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1
@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,1
خنازير فعلت فعلاً ..,1
لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,0
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,0
ي قصارية ي بايرة,1
يارب انصرنا #افريقيا_يا_اهلي,0
واحده بايره,1
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,0
@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,1
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,0
@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,1
الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,0
@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,1
@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,1
@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,1
@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0
@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,1
@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,1
@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,1
@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,0
والله هندوس ع وش اللي جابوهم السبت,1
@user ياشارب بول البعير العباسيين هم الهاشميين,1
بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,1
@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,1
@user let guess اللاجئون السوريون؟,0
والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,0
معا لحماية أطفالنا من التحرش الجنسي @url,0
@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,1
مدينة بورنهايم بالـ المانيا تمنع اللاجئين العرب والمسلمين البالغين من دخول بركة السباحة العامة بعد تلقي شكاوي من نساء المانيات تم التحرش بهن,1
@user @user بس يا شارب بول البعير يا عبد ال سلول,1
عيل وسخ هسقطك. @url,1
الظاهر الاخ برونطو بلش يشرب بول البعير يعني لو قلو قليل من الخمر يفرح القلب مقبولي بس انو اشرب ٢٤/٢٤ساعة اي بيو… @url,1
@user @user بول البعير بيكون  أفتر ميل  ماي دارلينغ,1
@user @user بدون شك بريئين منها. أنا ترى ما قلت سواقة حريم,1
@user @user @user أوقف النقاش فوراً عندما تسمع بول البعير.. لأن أصحاب هذه الفكرة يرون أنك متخ… @url,0
@user @user شنو اللواكه ياشاربي بول البعير يا اذناب الاستعمار يابقرة ترامب,1
دي شكلها قالت كدي النعمل موضوع مع مواضيع الايام دي ..عايز افهم وين التحرش....ملفات من 2016 @url,1
شغل الحريم هذا ماينفع مع الرجال #ادواردو_يرفض_شعار_الوطن,1
لو كان اللبس الضيق حريه شخصيه يبقا التحرش واجب وطني .......,1
ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه… @url,1
بول البعير افقدكم الرجوله والنخوه والشهامه والغيره @url,1
ووووو الترشي ربحت ....اش باش يسكت بايرة و تخطبت,1
مزال مسمعناش الصفارة يعني مكانش التحرش .,0
صحيح انت ونسوانك خدم عندنا ونشربكم بول البعير حسب كتبكم وفتوى معمميكم ياحمار تعلم دينك الرافضي بول البعير عقيده عند… @user,1
التحرش والشارع والمجال العام ما يكون آمن للنس… @url,0
صباح الخير ايها اللاجئون,0
@user @user حرر بلدك يا خنزير,1
@user @user خنزير اوبس,1
بإختصار أصبحوا خنازير بدياثتها و قذارتها و قبحها,1
@user @user اولا يا استاذ احترم نفسك عشان اقدر أغلط عليك باوسخ الألفاظ ثانيا صفقاتك الاربعه لن تفيدك… @url,1
من كتر ما عقلي معاق ماسكه الماوس بدّي أعمل كوبي للنوتس إلي كتبتهم ع الدفتر و أخذهم بإيميل,0
عنايات اندى طبيب تركى يساعد الاف الافارقة على العلاج من امراض العيون,0
@user ولو مجلهاش عرسان تبقي بايرة ووحشة ومحدش بيبصلها أنة الشعب المصري ياسادة,0
يظل التحرش في نظر الانثي تحرشا,0
دعسس خنازير #الإسرائيلي #عزمي_حم…,1
ثانيا : إن كنت متبرجة فلا تحرضي البنات على الت… @url,1
@user @user خنازير التحالف العربي,1
@user @user اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,1
تخرج إلى الشارع متبرجة وتقول ( الإيمان بالقلب),1
يعني يلي بيشرب من بول البعير شو متوقع منو,1
ويجونك أغلب النسويات يقولون سعاودة وسعاودة ، وكان التحرش وليد اللحظه وكانه لم ولن يكُن هناك متحرشين ومغتصبين الا با… @url,0
@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب,1
الشعوب التي ترى حريتها في عبوديتها لا تستطيع اخراج قيادات لها، وانما تخرج خنازير ينهشونها بالاستعراض والتملق والتسحيج...,1
نصايح كيف تصيرين بايره وراميه نفسك على رجلك @url,1
تبقاي بلا زواج لانو موش من اهدافك يقولو عليك بايرة ولا عاهرة !,1
@user @user لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير,1
لا تصارع خنزير في الوحل..   فتتسخ أنت و يستمتع هو..,1
@user @user لعنة الله عليك و علا اتباعك يا قريشي ياكلب يا شاربي بول البعير  يا عبيد امريكا @url,1
@user لاء دكر واغلط والى يغلط فى بنت اصلا موش راجل  فا اغلط بتقول كمية اللفاظ محسسنى الى رباك كان وسخ,1
