,Text,label
707,get fucked racist inbred hillbilly fuck,0
2589,lmao lebron expression say nigga fuckin faggot,0
748,know ultimate warrior died god love fag anti gay crusader little light joke necessary,0
1392,oh pain med made brain fuzzy though banjo kazooie sec,1
2058,okay cool one mine black fuzzy pink back sparkle hallelujah,1
73,going sell iphone mac support faggot,0
1158,lol one flavor think yellow idk yea bomb,1
619,best asian massage park slope top rated spa,1
2916,royal fire sale want whole team leave gardner tanaka rest please go along joe cash,1
458,well since blood get g pas time tell wop lyric situation,1
1946,stupid loose pussyed bitch,0
1824,far tell coon track cab door window tractor parked tree away home,1
2810,well yankee year run,1
2436,nigga sleepin bitch grandma lmfao maury fake af,0
733,yeah think think,1
1845,nigga entertain nicole bitch see ever take bitch posted naked pic serious,0
1996,let guess yellow cake crap different president,1
1033,he behind plate game tonight az looking buy red yellow balkamania shirt tear,1
2085,lowkey called faggot faggot,0
123,ebloa case texas kill nigger might safe,0
1882,purple pink faggot want protected police instead bearing arm need,0
1729,dumb bitch,0
1830,bias objective fact philly fan cunt,0
1555,wish spend go filthy theatre watch fuzzy screen bad sound,1
1880,better nig lol anything ill flip u something tryna get cash,0
946,bird feather go away,1
950,called monkey lol shoe fit cause sure look like married one,1
2756,peanut butter oreo lt,1
1534,got thanks hun ima text u,1
2907,nigger ignorant,0
1156,shit girl bitch made nigga,0
1281,nigga still runnin round sayin yall eat pussy must suckin dick,0
1836,need beany ordered two true religion one lol,1
114,lmfaoooo hate black people black people nigger,0
620,stfu u ugly dyke,0
1380,color entire arm black sharpie fist wife asshole know nigger dick feel like,0
2337,hope get eye cancer bitch,0
1884,mutation genealogy convoluted basically zebra gene currieries slaughtered extinction,1
36,charlie crist asked keep poll broward open pm claiming long line medium report say turnout light broward,1
2030,cardinal score st lead top rd bird base,1
1387,someone shut beaner please,0
2764,yellow sorry,1
1495,got faggot,0
1568,dude remember wop video omg find,1
1222,always one never realize worst unsolicited unaffiliated trash talker,1
1758,fuck bitch bout u get bitch as nigga stupid as,0
845,say old man hope survive another year silly jigga boo monkey,0
813,wishin local take da yankee game spoil,1
1783,course rascally radio blaming dead az firefighter oy vey,1
2326,great white bitten twice shy,1
1703,u coon wait wear oreo j,0
542,speak one coherent sentence without sounding like nig seriously,0
1567,nigga cracker chase,0
2417,yeah people know trash game limited showed late game portland,1
2056,think beat mayweather far trash unlike floyd actually put maidana,1
47,deleting pic realized dike back ground dressed like nigga wedge bitch,0
1702,working route running catching good wr grier fun white trash racist uf fan,0
471,nee dat na langdurig gepest worden zoals ik al zei kiem smoren ook vb voor kind hoe je moet optreden,1
1079,probably yeah account personality handle though wear yellow suit put point,1
857,mean trash,1
313,see flipping bird,1
2674,given rickety slant roof say like pizza shanty,1
309,tranny dragon eh know people love,1
2847,lol trash would kept cute,1
2565,hairy like monkey p,1
871,care tho cracker,0
522,got ta love redneck loud stupid stubborn full schitt,0
2385,one anglo saxon protestant right alive u none foreign filth,0
1006,told mariam cigarette birthday also called trash rn,1
2225,still faggot,0
1119,anyone bring monkey,1
1489,sick coon antic accuracy henny gt water,0
2036,leftist homosexual war church kicked high gear infiltration priesthood boy raping fag,0
1231,wrong nigger always causung mischief among ur people,0
2877,lem throw tranny,1
1689,elite call conservative nigger behind closed door,0
2073,shade faggot clash eye color,0
2141,dani alves pulled hairstyle neymar look like faggot,0
2332,mother look like tough nail bird see got nice food,1
337,oh make brownie alright,1
2505,hoe hoe,0
2873,nigger,0
1399,impressed anybody could chug smirnoff ice quickly,1
2799,discredited per government study good factual pay bill moocher teabaggers republican,1
1774,grape crackhead charlie brown,1
958,flaming faggot publicly state want everything handed like fuck dude get bottom as something,0
1517,wish coulda said tonight good seeing fag,0
1258,like bitch nigga,0
1550,grass greener side fence course also soggy septic field,1
581,nip tryna buy copy website let know something,1
2606,skate trash skate goat dlc,1
2693,going murder fucking cunt,0
521,yeah definitely guy fought lara cut ring well huge boon canelo,1
122,yo bitch as need bos fuck,0
2785,seen sum tryin see lox n mook,1
1623,embarrassed charlie rangel remains caucus,1
686,oh last charlie wilma jeanne,1
2673,yes white washed go around repping hood saying bunch ignorant nig term,0
449,pennsylvania white trash pennsylvanian,0
2222,fatherless wallet carrying as video game playing as negro breh filth way afford date,0
591,road perfect way continue finished,1
1494,project could lead military program requires full op mock testing,1
425,wassup wit fucc niccas,0
2142,morphing charlie wei never cease disturbing,1
2099,amos hate one upholds justice court detest one tell truth,1
2457,lmao u live wit ya girl u dish u faggot,0
273,highschool graduation rate near many uninformed,1
2038,assume shit hmm cuz u know fuck u talking cracker day,0
991,retarded,0
1357,charlie parr mountain top music fest,1
775,leave beaner retard,0
1460,straight men frustrated unlike okcupid queer folk ability block,0
1428,ankle hood bitch long weave worst thing ever weave touching ashy ankle,0
2661,well gahdamn wooooow good job mommy cutest thing blue ivy ever done still ugly nigger baby,0
1491,worst terrorist republican teabaggers,1
1116,comfortable niccas like say com tha ble smh,0
1091,callin da race card colored podcasts dare,1
1505,big as smile eye chink,0
672,bandana orian called trailer trash wearing lil country getup,1
118,help maybe got ta card sorry tranny died motel room wife know applebees gift card,1
2230,gobble de gook,1
2471,yankee,1
2734,faggot like side state,0
874,half breed spic right say anything anglo ever killed,0
40,live eye white trash hurricane milwaukie people use bike bc duo save environment,0
1941,trash,1
2312,foster home imaginary trash whoa chill show everything tf,1
2478,tell hating niggah stfu,0
2263,cleveland best team manziel honestly oc use offense redskin brown nice wit def hc,1
111,yes retard,0
1184,little bitch team got blown super bowl,0
2511,ur faggot change name bday get bday tweet aint fb nigga fuck yo birthday,0
85,like talking faggot nicely way fag,0
1788,youre racist white people whigger anti racist codeword anti white anti zionist codeword antisemite,0
1056,rub hand like bird man,1
189,amos two walk together unless agreed,1
2254,trash jersey odds last minute around go back watching barney,1
2508,person feel disrespected bird poop suddenly dropping front window ewww,1
236,beer queer,0
2444,whoa easy amy slag canuck much generalization,1
2196,lt lt closet muzzie,1
2744,baked montreal chicken cheesy brussels sprout garlic butter triple cheddar chive yellow mashed,1
2440,yeah one called race traitor lol,1
2116,furrybah paypay voice hoe everybody nigga,0
1504,watch nigger lover day coming,0
1393,trick wait bird get close pipe tap screen never hit head,1
280,nigga talk bitch day,0
1178,thuggery cheating talking trash besides jameis nd middle cheating issue,1
310,niger,0
1468,perfection brain crossed wire something dont know came concentration maybe ghetto one,1
2138,record care unless got ta see every sexuality even bird dog,1
1430,egg sunny side nicca,1
362,band sucked worse live fag gun pose,0
142,green azz nigga yall new bitch condone dat sucka activity dat keep doin,0
482,anything trash black president,0
311,reason shelby hate sandwich queer,0
2575,con also provide colored sticker place nametags member indicate preferred pronoun,1
1015,oh shut mouth talkin morning fag,0
2567,plus trash talk know especially ole miss,1
951,ghetto,1
2173,hick yes,1
2475,white kid favorite activity calling people nigger xbox fucking pet shooting school,0
2608,shoot nigga shorty bitch,0
1452,nope got lucky washing slope gon na make little rough combining feeling fortunate today,1
158,nerve worked co monkey,1
1273,got ta ghetto fool,1
1319,ciara ghetto name well kinda ashanti,1
598,people grow vegetable nothing common peasant trash,0
75,burn bitch,0
627,day feel bout colored folk,1
2743,fucking hate coon ahh uncle,0
2425,honky tonk badonka ankh,1
33,lmao girlllaaaa like em chunky anymore,1
712,true idk even convo dumb nigger attention whore,0
2535,let play entire inning fitting,1
1712,absolutely absurd even think call,1
1708,lol getting early bird catch worm,1
2271,bet starbucks queer,0
745,average need scale ghetto u,1
1847,faggot,0
2100,little faggot usually bag head anyway make bullet placement interesting thru scope,0
1034,suck dick taco el negro better,0
2345,apparently honky pfft like bad thing,1
2121,bend buy make nigger,0
1470,learn dance nuh cuz u know carnival like pick month old yardie ting lol,1
2653,liked day bird got classroom,1
2307,faggot page cant faggot offend,0
218,ch burashka sure get nit picky russian monkey bear thing sometimes,1
1857,lol cunt liar hope drop dead k,0
347,fuck still talking shit acting like pussy as nigga,0
2320,never life coffee shop like starbucks hick though,1
2291,trash talk win championship boring dude,1
267,well got see pom pom pete,1
1786,ill break bitch like pussy,0
1449,sound like holding back info yankee shill,1
2062,camel ostrich zebra see race,1
730,best asian massage brooklyn park slope top rated spa,1
378,hate hoe already shit crack,0
120,best behaved kid ever mommy commercial audition oreo mcflurries everybody,1
888,good prom see another faggot as high school dance,0
602,cactus yellow lab chow mix hershey everybody active buddy cactus one special pup angel,1
948,lol already made waiting brownie finish,1
2463,kill coon,0
1317,even spell right brain ape,1
1762,jus tryna vaca away nigger bro,0
2143,beat score flappy bird,1
693,perfect stock photography article letting leprechaun looking handyman get liquor cabinet,1
2299,hope guy get attacked supporting sopa bunch dirty snake faggot,0
723,bomb selfie monkey timeline,1
621,talking crazy internet thing person try buddy buddy later faggot fuck,0
2882,woof woof hot sol,1
2255,one problem there pussy allowed sorry,0
1081,like put looking race colored glass,1
1669,extra yellow,1
481,know good ho ho answer given ho ho whoa,1
78,bc deleted visionary saw subtweet next time tho love jail bird dress,1
105,dad brought home watermelon eegee like going trash,1
617,hate trailer trash,0
1403,derek jeter clap clap clapclapclap,1
2887,hoser eh,1
864,dumb black bitch getting card picture made fucking mad ruined day,0
2821,obama faves muslim black ghetto trash via,0
1330,gun sale skyrocketed gun crime fallen sharply claim contrary using fuzzy math,1
479,aye respect ya hustle dont tweet anymore trash as video thank u kindly,1
2692,alexa phone gave u color julia got yellow dying,1
1025,watched video good stuff thought let new bos boon say old character surprise argus,1
917,johnny football trash man trash lol,1
217,dumb ugly stupid bullshit as bitch,0
1490,ate wee brownie seeing random cat,1
1110,argie,1
1870,root royal october,1
2769,jihadi patron hajjaj al ajmi arrested kuwait airport,1
985,answer snapchat faggot,0
1750,learn first second flesh power hold death riff would cool bird lol,1
342,fuck fucking faggot as randos even find zoe ask account,0
721,wait humble nigga playoff good job hoe,0
2347,deze hoe got past demon em yolo nigga lol hahahahaha,0
