_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,languagecomment:confidence,articletitle,text,bodylen,insdt,languagecomment_gold,link,serial,words
1222288673,FALSE,finalized,3,4/28/2017 18:37:30,0,0.6688,انتخابات المغرب ومسار الإصلاح,"خيبة الأمل ليست تشاؤما ولا تقولا ٠
عزم لكفالة اليتيم ولو بالعشرين وأبيه وأُمَّــــه ٠",85,02:54.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/01be8e7b-c179-42e3-8521-109c2c732334,20954,14
1222310597,FALSE,finalized,3,05/03/2017 05:11,0,0.6783,مشاركة الحشد الشعبي في معارك الأنبار والتبعات المحتملة,تبع ايران,9,59:03.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/0412e723-acff-4f64-ba18-e6179b3bae07,65439,2
1222307799,FALSE,finalized,3,05/01/2017 23:12,0,0.6698,أسأل مع القاسم عن الدور الذي تلعبه المقاومة بلبنان,هل لو كان الحريري هو,20,07:37.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/063c838c-086b-44a9-9958-3f434fb5f044,59837,5
1222301521,FALSE,finalized,3,4/30/2017 11:39:50,0,1,"اشتباك بين ضيفي ""الاتجاه المعاكس"" بحلقة عن الجيش العراقي",سيد فيصل إحترامي وتعلم,22,33:09.8,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/078d400c-b73d-4ee6-93a7-c593b66cbbbe,46817,4
1222301518,FALSE,finalized,3,4/30/2017 11:39:50,0,0.6764,"اشتباك بين ضيفي ""الاتجاه المعاكس"" بحلقة عن الجيش العراقي",اتمنى في الحلقات القادمة من الاستاذ فيصل ان يقدم حلقاته من داخل قسم البوليس وذلك منعا لعدم حصول اي عاهه دائمه لاحد الضيوف عندما تشتعل المعركة بينهما وحرصا على سلامتك انت ايضااستاذ فيصل.,185,29:18.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/078d400c-b73d-4ee6-93a7-c593b66cbbbe,46803,33
1222301515,FALSE,finalized,3,4/30/2017 11:01:52,0,0.6786,"اشتباك بين ضيفي ""الاتجاه المعاكس"" بحلقة عن الجيش العراقي",هالبرنامج صاير مسخره .. الجزيره 2015 تلغي هالبرنامج المفروض ..بدنا برامج جديده يا جزيره .. هالاتجاه المعاكس لازم يتقاعد,119,25:00.9,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/078d400c-b73d-4ee6-93a7-c593b66cbbbe,46795,19
1222301490,FALSE,finalized,3,4/30/2017 10:59:28,0,0.6786,"اشتباك بين ضيفي ""الاتجاه المعاكس"" بحلقة عن الجيش العراقي",بل كلامه كله مغالطات ... وبعد ذكر علاء حقيقة الرجل ثار غضب !!,61,53:55.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/078d400c-b73d-4ee6-93a7-c593b66cbbbe,46754,13
1222294694,FALSE,finalized,3,4/29/2017 11:30:11,0,0.6578,اليمن.. ماذا بعد عدن؟,ما تقوم به السعودية والامارات من تسليح القاعدة والمرتزقة سيودي إلى تقوية داعش في اليمن,86,54:33.0,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/09fd3c84-2afa-417b-b5ba-4e6e35beb51e,33329,15
1222281824,FALSE,finalized,3,4/28/2017 10:27:00,0,1,ما الذي يجري في سوريا؟,صباح الخير,10,38:00.7,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/0b075ca3-c4f1-4e19-b87c-280092d64c1f,6935,2
1222305844,FALSE,finalized,3,05/01/2017 12:12,0,0.6729,تجنيد الأطفال في النزاعات.. كيف يمكن مواجهته؟,بتمام مكارم أخلاق أمهاتهم وترك الفواحش ما ظهر منها والشر كل الشر ما بطن، فإما قتل أوسرقة لفساد مسبق دون بينة وحكم السنن فيه حتمية هلاك النسل والزرع .,149,19:05.0,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/0d58d15f-a9c0-4e65-9270-a36a9e016b18,55493,29
1222301780,FALSE,finalized,3,4/30/2017 11:41:17,0,1,مورو: وساطة السعودية أنقذت الإسلاميين من الإعدام ج11,الرجاء التثبت لا يمكن قراءة الفيديو,35,19:12.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/0d9618e2-7e97-4add-b598-b4bbfe3beec3,47314,6
1222301622,FALSE,finalized,3,4/30/2017 11:14:33,0,1,مورو: وساطة السعودية أنقذت الإسلاميين من الإعدام ج11,الشريط يحتوي على 19 ثانية فقط,29,05:30.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/0d9618e2-7e97-4add-b598-b4bbfe3beec3,47016,6
1222300257,FALSE,finalized,3,4/30/2017 08:07:51,0,1,تركة أوباما بين الرمادي وتدمر.. إستراتيجية أم أطلال؟ ج2,يا شباب يا جماعة يا هوووو  وين الحلقة ؟ صار 19 مرة  على مدار 3 ايام عم ندخل  ومافي شي غير التقرير !!,100,47:00.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/1a247409-e76c-413a-a5b8-48f4adc823a1,44462,23
1222297160,FALSE,finalized,3,4/29/2017 18:04:43,0,0.6482,قصة انفراد الجزيرة بحوار العقيد الأسير-بلا حدود,بدا موقف أحمد  منصور واضحا حين  إجراء الحوار مع أمير القاعدة الجولاني وبدا مبسوطا برفقته مساندا لآرائه ومطريا على أعماله. أتصور حواره مع أسير كان يحارب القاعدة اللتي هاجمت بلاده.,178,28:53.5,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/20730b12-49e2-4209-93d3-31bb8a5e6cf4,38330,30
1222297137,FALSE,finalized,3,4/29/2017 17:44:30,0,1,العقيد السوري الأسير: بادلونا إذا لنا قيمة عندكم,كيف,3,03:36.2,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/20730b12-49e2-4209-93d3-31bb8a5e6cf4,38294,1
1222297133,FALSE,finalized,3,4/29/2017 18:10:24,0,1,العقيد السوري الأسير: بادلونا إذا لنا قيمة عندكم,"قارن حوار أحمد منصور مع الجولاني وإستنطاقه لهذا العقيد الأسير. 
أرجو النشر. شكرا.",81,51:24.1,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/20730b12-49e2-4209-93d3-31bb8a5e6cf4,38288,13
1222297099,FALSE,finalized,3,4/29/2017 17:41:57,0,1,العقيد السوري الأسير: بادلونا إذا لنا قيمة عندكم,سلامي للنصرة .للاسير يتكلم بحرية تامة وهذا يدل على الاخلاق العلية والرفيعة للمجاهدي النصرة,90,36:51.6,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/20730b12-49e2-4209-93d3-31bb8a5e6cf4,38198,14
1222281221,FALSE,finalized,3,4/28/2017 09:38:48,0,0.6584,هاموند: إذا أصرت إيران على الأسد فلن نتفق,ومن اعرض عن ذكري فان له معيشة ضنكى ... صدق الله العظيم لاننى تركنا ذكر الله فنحن نعيش بضنك سواء بحكام يدعون الاسلام وهو برئ منهم الا بعضهم او من خلال غزونا من قبل الغرب الذي يرسم لنا طريقة عيشنا,194,14:33.4,,www.aljazeera.net/home/getpage/0353e88a-286d-4266-82c6-6094179ea26d/21583699-9d30-4eae-b423-74220ac50c0e,5839,40
