#,type,text,label,aggregatedAnnotationConfidence,annotator1,annotator2,annotator3
1,TWEET,مبروك و سامحونا لعجزنا التام. عقبال اللي جوه. اللي بره يا عاجز يا بيزايد على العاجز,0,0.6667,-1,0,0
3,C2,بدل ما انت قاعد بره كده تعالي ازرع الصحرا,0,1,0,0,0
9,C8,انت قمر,0,1,0,0,0
10,C9,كلنا بره ومش هنبطل نزايد على العجايز الي جابونا ورى,0,0.6667,-1,0,0
11,C10,أو اكتشف إن النضال مش سهل وفيه تهديدات وابتزاز,0,0.6667,-1,0,0
12,TWEET,الحرية حق و ليست منحة يمنحها من لا يملك لمن يستحق.,0,1,0,0,0
13,C1,اهم حاجة صحفي الجزيرة يتصوروا عا الاسفلت قبل الوصول لنيويورك بتكتب يا احمد؟,0,0.6154,0,0,-1
14,C2,ماشي بس يخرجو وبعدين يحلها ربنا في الظلم,0,0.6154,0,0,-1
15,C3,يعني يسيبهم في السجن ؟! انت مش عاجبك العجب ! 😀,0,0.6154,0,0,-1
17,C5,عيد مبارك باسم .. اشتقنا الى رؤياك لازلنا نتذكر طلتك ع مسرح امتلأ بالسخريه الضحكات تلاشت الا انها تركت اثرا على وجوهنا,0,1,0,0,0
19,C7,انتي بتقولي ايه يا مروه ده كلام زي الرصاص في جتت زي النحاس وبعدين مبيقولش حرف ليه ع البوب حبيبه,0,0.6154,0,0,-1
20,C8,الطف حاجة ان حضرتك والى زيك ناسين ان السيسي سافر والناس دى محبوسة بس ياحرام نظرية الموامرة خرمت دماغكم,0,0.6154,0,0,-1
21,C9,الحمد لله انها خرمت دماغنا، وانت عاملة ايه من تحت؟ :),0,0.6154,0,0,-1
23,TWEET,كأهلاوي طبعا نفسي الأهلي يكسب. بس مش عاجباني الثقة الزائدة بعد اخر ماتش. مافيش حاجة مضمونة يا جدعان,0,1,0,0,0
24,C1,كم سار لك ما جبت الدوري؟ خلاص لا تبكي!  نعطيكم فهد المولد وتعطونا السومه,0,1,0,0,0
25,C2, يتكلم عن الاهلي المصري يالطيب,0,1,0,0,0
26,C3,لا ما حبيتها منك يا فصول.. تحسب سخريتي لهذه الدرجة ضعيفة هههههه,0,1,0,0,0
27,C4,يا زينب فكك من النادي ده بقى,0,0.6667,0,0,-1
28,C5,على الحلوة و المرة,0,1,0,0,0
29,C6,ده فال وحش اخر فريق قالها قعد عشر سنين يخسر,0,1,0,0,0
30,C7,سنظل أوفياء 😂,0,1,0,0,0
31,C8,"متوقعك زملكاوي  يلا خير الله يسامحك""",0,1,0,0,0
32,C9,انا كنت بقول كده برضه وكنت حاسس ان ف حاجه هتحصل بسبب زياده الثقه الاوفر دى,0,1,0,0,0
33,C10,الأهلي مغلوب لأااااااااااه 😢😢😢😢😢😢😢😢😢😢😢 يا شماتة ابله ظاظا فيا 😂😂😂😂 شوفت بقى الثقة الزيادة بتجيب ورا,0,1,0,0,0
34,TWEET,"""مش عارف مين قال ان موضوع end of text ده كان المقصود بيه ""مات الكلام"" تحياتي للبرنس اللي قالها""",0,1,0,0,0
35,C1,جهل حضراتكوا بالاعلام العالمي سبب التريقة، الاعلامي القدير رون برجندي عملها قبل كدة عادي :-),0,0.6923,0,0,-1
36,C2,"""هو يعني كان الواجب قبل ما يقولها   يقول "" نجيب من أبو أخر  من أبو ناهيه  end of the text ""  عشان ما يكسفناش""",0,0.6923,0,0,-1
37,C3,"""صح هو فعلا مات الكلام..وبالمرة نقول اغنية اليسا "" محدش ينفع أسامحه علي اللي قتله فيا""""",0,1,0,0,0
38,C4, ياباسيييييييم المواد الخام بالهبل لميت برنامج,0,0.6923,0,-1,0
39,C5,ده الواد سامح مشاكل بتاع الخارجية هوا اللي قالها,0,1,0,0,0
40,C6,هي المقصود بيها ده اللي عندنا,0,1,0,0,0
42,C8,كويس انه ما خدهاش من مقال يهودي,0,0.6923,0,0,-1
43,C9,ده تركيز يا دكتور,0,1,0,0,0
44,C10,وفيه ناس قالت العكس..ممكن نقول بعد كده اند اوف تكست بدل ما نقول مات الكلام!,0,1,0,0,0
45,TWEET,الدقيقة ١٠:٥٠ :السياحة نفسها من ضمن مؤامرة.حد عمره سأل نفسه اشمعنى السياح يبقوا اجانب؟,0,0.5,0,0,-1
49,C4,"""هو في حاجه اساسا تستاهل يبقي عليها حقد :-D  انا اعرف ان الحقد بيبقي علي حاجه كويسه :-D :-D""",0,0.7778,0,0,0
51,C6,"""نت ايه كم الفاظ الكراهيه اللي انت فيها ده  انت عايزه ايه""",0,0.5556,-1,0,0
52,C7,وحشتنا اوي ياباسم 😍,0,1,0,0,0
53,C8,كابتشن كابتشن الحياة منغيرك قميءة و مزرية 😭😭😭,0,0.7778,-2,0,0
56,TWEET,اعتذر عن عدم الرد على التويتات. مشغول لشوشتي في فعاليات المجلس الأعلى للعالم. تحبوه كام ريختر؟,0,1,0,0,0
57,C1,عايزة 6 ريختر و يكون معه تسونامي صغير و الامطار علي شكل كرانيش و يا ريت بينك,0,1,0,0,0
58,C2,راح عليك انت شوية شغل ...لوز اللوز ...اسكريبت البرنامج كان هيتكتب لوحده وتمد ايدك وانت مغمض وتسحب منه ومايخلصش,0,1,0,0,0
59,C3,نصف سوا علشان الدايت يا باسيييييييييييييييييييييييييم,0,1,0,0,0
60,C4,هو إيه بالضبط؟,0,1,0,0,0
61,C5,"""بجد يا باسم كلنا مفتقدينك ربنا يرجعك بالسلامه""",0,1,0,0,0
62,C6,خمسسةة يا باسم خمسة مواااه,0,1,0,0,0
63,C7,حابة أشارككم الفعاليات وقررت أمشي بحنية. ,0,1,0,0,0
64,C8,دة زى المجلس الاعلى للرياضة عندنا بس اعلى شويتين :-D,0,1,0,0,0
65,C9,عايز تفهمني إن المجلس الأعلى للعالم سابوا موورتضى منصور واختاروك إنت؟!! صعبة دي يا باااااسيم,0,1,0,0,0
66,C10,عندك براكين؟,0,1,0,0,0
67,TWEET,كل الاحترام و التقدير لاخواتنا في لبنان. فيديوعن التعليقات السيئة على الاحداث.لخص ما كنت افكر فيه #عالشارع ,0,1,0,0,0
70,C3,اروع فنان واعلامي عربي التزم بقضايا شعبه,0,1,0,0,0
71,C4,عن جد عيب,0,0.6154,0,-1,0
72,C5,كلك ذوق باسم يوسف .. و متل ما كلن في صبايا هيك كان في صبايا محجبة حجاب شرعي كامل .. لبنان في هيك و في هيك لأن في تعدد طوائف,0,1,0,0,0
75,C8,ابه علاقة مراته ولا اهل بيته باحترام الشعب واللبناني وعتداته وتقاليده .. يا اخي احنا مش أحسن من حد,0,1,0,0,0
77,C10,خراب عشان فضح اختراع الكفتة بتاع الجيش قصدك :)),0,0.6154,0,-1,0
78,TWEET,"""احب اقول لامناء الشرطة المطالبين بمطالب فئـوية :""ايه؟ حتاكلوا مصر؟ حتاكلوا مصر يعني؟""""",0,0.6667,-1,0,0
89,TWEET,٢. القضاء كبيرة    الشكر لكل من انصفني وحسبي الله ونعم الوكيل في كل من أساء الی,0,0.6429,0,0,-1
96,C7,ربنا معاك للأسف الناس نسيت مين اللي فضح الاخوان والفاسدين وظهر حقيقة كتير منهم,0,0.6429,0,0,-1
97,C8,ربنا معاه ينصفه و يرفع عنه الظلم,0,1,0,0,0
99,C10,و الله عندى سؤال مهم جدا و مصيرى لحضرتك ممكن ؟ مش بتحس احيانا انك سبب رئيسى فيما تعرض له #الاخوان و مناصريهم ؟ اشكرك,0,1,0,0,0
100,TWEET,"""صايعين the Egyptian onion البرادعي ووائل غنيم ونادر بكار على رأس الحضور في حفل تخرج باسم يوسف من المحفل الماسوني """,0,0.6429,0,-1,0
101,C1, ده أنا لسه مخلص محفل التايم سكوير. نفسي اروح المحفل الماسوني بتاع هارفرد.سمعت ان أكله جامد!,0,1,0,0,0
102,C2,سبحان الله!! امرك عجيب قوى يا حازم !!!!؟؟؟؟ تويتاتك عن باسم يوسف لسه موجوده ع فكره .. انت بتتلون كدا ازاى؟!!,0,1,0,0,0
104,C4,مش معنى أنك تكون معارض لنظام الحكم في بلدك أنك تتصرف بشكل يبينك خائن ..يا ريت تنضف علاقاتك و أختار ناس فعلا تستحق باسم يوسف,0,1,0,0,0
105,C5,علي راي جدتي - البيض الفاسد يتلم علي بعضه,0,0.6429,0,0,-1
106,C6,هو انت مش واخد بالك آنهم مُستغلينك ولا عامل نفسك مش فاهم بجد لإني بحترمك بقولك كده,0,1,0,0,0
107,C7,الضاكتور الماسوني باسم يوسف فشخ الواقع علي كل المواقع   ما  سو  ني  لقب مش سهل حد يخده ..!!  :),0,0.3571,-1,0,-2
108,C8,لدكتور باسم يوسف طبيب الحميات والربو والسكر بمستشفي ميت خاقان العام سابقا ومقدم البرامج الكوميدية حاليا. هههههههه لا تعليق,0,1,0,0,0
109,C9,كده فاضلك واحد تركى وواحد قطرى علشان تكمل,0,1,0,0,0
110,C10,يادكتور نادر بكار امتنع عن النشيد لأن الغنا حرام. وما يصحش تحملوه حق عرب بسبب معتقداته,0,1,0,0,0
111,TWEET,لنتذكر: كانت الدعوة منذ ٢٠١٠ لمقاطعة الانتخابات البرلمانية والرئاسية والاستفتاءات وغيرها من صور الديمقراطية الشكلية وسيلة فعالة للتغيير.,0,1,0,0,0
112,C1,وإيه دخل حضرتك يا أفندم بحاجة زي كده؟! ده شأن مصري داخلي!,0,0.7222,0,-1,0
113,C2,ما كنتش عارف الصديق رامي انتقل للعمل في قسم الجوازات في مجمع التحرير علشان يمنح ويسحب وثائق الجنسية المصرية. عيب,0,0.7222,-1,0,0
114,C3,يا ما فيه ناس من جنسيات اخرى اكثر مصرية وانتماء من بعض ممايحملون الجنسية المصرية,0,0.7222,0,0,-1
115,C4,والحكم على انتماء الشخص مش محتاج لموظف فى الجوازات ده بيبقى حكم من خلال تصرفاته تجاه قضايا بلده,0,1,0,0,0
116,C5,الكفروالايمان من حق ربنا كما جاء فى جميع الاديان اى حاجة تانية قابلة لحكم العقل اليشرى والشواهد المنطقية,0,1,0,0,0
120,C9,كذب ايه ؟؟,0,1,0,0,0
121,C10,لا اقصد حضرتك واقصد البرادعي…,0,0.7222,0,-1,0
122,TWEET,بابا الفاتيكان يدعو الكاثوليك والكنائس الي إيواء اللاجئين الفارين من الموت .هل سنسمع دعوات مماثلة من رجال الدين فى العالم الإسلامى ؟,0,1,0,0,0
123,C1,انت بقيت بتتويت كل يوم يعتبر,0,1,0,0,0
124,C2,احلامنا بقيت تويتة يا اسراء ؟؟ يغرد براحتة بس يراجع .,0,1,0,0,0
125,C3,كله راح كله اتكسر,0,1,0,0,0
126,C4,"""بسببك :p :p. ما ينفعش يزرع حلم التغيير في الشباب وفي كل المعارك يسيبنا """,0,1,0,0,0
127,C5,يا حلم وتغيير يااااا مش فاكرة سمعت الكلام ده فين قبل كده,0,1,0,0,0
